iter	Passed	Remaining
0	108	9638
1	197	8681
2	291	8466
3	405	8719
4	500	8507
5	604	8465
6	702	8327
7	799	8198
8	917	8258
9	1018	8144
10	1124	8079
11	1224	7956
12	1323	7836
13	1431	7768
14	1531	7659
15	1636	7569
16	1735	7450
17	1833	7335
18	1945	7270
19	2044	7156
20	2149	7063
21	2247	6947
22	2361	6878
23	2458	6761
24	2557	6648
25	2672	6577
26	2778	6482
27	2892	6405
28	2997	6304
29	3100	6200
30	3216	6122
31	3326	6028
32	3438	5938
33	3543	5836
34	3659	5750
35	3798	5697
36	3911	5603
37	4017	5497
38	4157	5436
39	4265	5332
40	4375	5229
41	4481	5121
42	4602	5031
43	4736	4951
44	4833	4833
45	4940	4725
46	5040	4611
47	5153	4509
48	5250	4393
49	5352	4282
50	5460	4175
51	5584	4081
52	5724	3996
53	5892	3928
54	6017	3829
55	6150	3734
56	6264	3626
57	6386	3523
58	6492	3411
59	6592	3296
60	6703	3187
61	6801	3071
62	6912	2962
63	7011	2848
64	7119	2738
65	7216	2624
66	7313	2510
67	7423	2401
68	7522	2289
69	7628	2179
70	7727	2067
71	7829	1957
72	7945	1850
73	8049	1740
74	8156	1631
75	8257	1521
76	8370	1413
77	8473	1303
78	8581	1194
79	8693	1086
80	8794	977
81	8907	869
82	9006	759
83	9103	650
84	9211	541
85	9308	432
86	9420	324
87	9517	216
88	9625	108
89	9726	0
